doc_id,sentence_id,sentence_start,sentence_end,sentence_text,sentence_tokens,p_count,i_count,o_count,gold_label
10036953,0,0,15,[Triple therapy regimens involving H2 blockaders for therapy of Helicobacter pylori infections].,"['[', 'Triple', 'therapy', 'regimens', 'involving', 'H2', 'blockaders', 'for', 'therapy', 'of', 'Helicobacter', 'pylori', 'infections', ']', '.']",0,2,4,MIXED
10036953,1,15,30,Comparison of ranitidine and lansoprazole in short-term low-dose triple therapy for Helicobacter pylori infection.,"['Comparison', 'of', 'ranitidine', 'and', 'lansoprazole', 'in', 'short-term', 'low-dose', 'triple', 'therapy', 'for', 'Helicobacter', 'pylori', 'infection', '.']",0,2,1,MIXED
10036953,2,30,83,"To evaluate the efficacy and safety of two 1-week low-dose triple-therapy drug regimens involving antisecretory drugs for Helicobacter pylori infection, 99 patients with H. pylori infection were treated with either lansoprazole (LPZ) or ranitidine (RNT) used together with clarithromycin (CAM) and metrinidazole (MTZ).","['To', 'evaluate', 'the', 'efficacy', 'and', 'safety', 'of', 'two', '1-week', 'low-dose', 'triple-therapy', 'drug', 'regimens', 'involving', 'antisecretory', 'drugs', 'for', 'Helicobacter', 'pylori', 'infection', ',', '99', 'patients', 'with', 'H.', 'pylori', 'infection', 'were', 'treated', 'with', 'either', 'lansoprazole', '(', 'LPZ', ')', 'or', 'ranitidine', '(', 'RNT', ')', 'used', 'together', 'with', 'clarithromycin', '(', 'CAM', ')', 'and', 'metrinidazole', '(', 'MTZ', ')', '.']",4,12,3,MIXED
10036953,3,83,110,"The drug combination and administration periods in the PPI group were LPZ 30 mg, CAM 400 mg, MTZ 500 mg (LCM group).","['The', 'drug', 'combination', 'and', 'administration', 'periods', 'in', 'the', 'PPI', 'group', 'were', 'LPZ', '30', 'mg', ',', 'CAM', '400', 'mg', ',', 'MTZ', '500', 'mg', '(', 'LCM', 'group', ')', '.']",0,3,0,I
10036953,4,110,130,"The ranitidine group received RNT 300 mg, CAM 400 mg, MTZ 500 mg (RCM group).","['The', 'ranitidine', 'group', 'received', 'RNT', '300', 'mg', ',', 'CAM', '400', 'mg', ',', 'MTZ', '500', 'mg', '(', 'RCM', 'group', ')', '.']",0,4,0,I
10036953,5,130,162,The cure rate of H. pylori infection was 88% in the LCM group; 95% CI 79-97 and 92% in the RCM group; 95% CI 84-99.,"['The', 'cure', 'rate', 'of', 'H.', 'pylori', 'infection', 'was', '88', '%', 'in', 'the', 'LCM', 'group', ';', '95', '%', 'CI', '79-97', 'and', '92', '%', 'in', 'the', 'RCM', 'group', ';', '95', '%', 'CI', '84-99', '.']",0,2,6,MIXED
10052279,0,0,18,Pre-operative short-term pulmonary rehabilitation for patients of chronic obstructive pulmonary disease undergoing coronary artery bypass graft surgery.,"['Pre-operative', 'short-term', 'pulmonary', 'rehabilitation', 'for', 'patients', 'of', 'chronic', 'obstructive', 'pulmonary', 'disease', 'undergoing', 'coronary', 'artery', 'bypass', 'graft', 'surgery', '.']",0,10,0,I
10052279,1,18,48,The role of pre-operative short-term pulmonary rehabilitation in patients with chronic obstructive pulmonary disease who undergo coronary artery bypass graft surgery has been assessed for the first time prospectively.,"['The', 'role', 'of', 'pre-operative', 'short-term', 'pulmonary', 'rehabilitation', 'in', 'patients', 'with', 'chronic', 'obstructive', 'pulmonary', 'disease', 'who', 'undergo', 'coronary', 'artery', 'bypass', 'graft', 'surgery', 'has', 'been', 'assessed', 'for', 'the', 'first', 'time', 'prospectively', '.']",0,4,0,I
10052279,2,48,78,Forty-five patients posted for coronary artery bypass graft surgery were randomised to receive either short-term pulmonary rehabilitation (group I) or no such programme (group II).,"['Forty-five', 'patients', 'posted', 'for', 'coronary', 'artery', 'bypass', 'graft', 'surgery', 'were', 'randomised', 'to', 'receive', 'either', 'short-term', 'pulmonary', 'rehabilitation', '(', 'group', 'I', ')', 'or', 'no', 'such', 'programme', '(', 'group', 'II', ')', '.']",1,8,0,MIXED
10052279,3,78,110,"Patients of both the groups were evenly matched with respect to age, sex, body surface area, duration and severity of chronic obstructive pulmonary disease and coronary artery disease.","['Patients', 'of', 'both', 'the', 'groups', 'were', 'evenly', 'matched', 'with', 'respect', 'to', 'age', ',', 'sex', ',', 'body', 'surface', 'area', ',', 'duration', 'and', 'severity', 'of', 'chronic', 'obstructive', 'pulmonary', 'disease', 'and', 'coronary', 'artery', 'disease', '.']",0,0,0,NONE
10052279,4,110,127,Normal individuals who evenly matched with the study group were assessed for normal respiratory function parameters.,"['Normal', 'individuals', 'who', 'evenly', 'matched', 'with', 'the', 'study', 'group', 'were', 'assessed', 'for', 'normal', 'respiratory', 'function', 'parameters', '.']",0,0,0,NONE
10052279,5,127,155,"Pre-operative and post-operative peak expiratory flow rate, inspiratory capacity, post-operative ventilation time, post-operative pulmonary complication and hospital stay were determined in both the groups.","['Pre-operative', 'and', 'post-operative', 'peak', 'expiratory', 'flow', 'rate', ',', 'inspiratory', 'capacity', ',', 'post-operative', 'ventilation', 'time', ',', 'post-operative', 'pulmonary', 'complication', 'and', 'hospital', 'stay', 'were', 'determined', 'in', 'both', 'the', 'groups', '.']",0,0,17,O
10052279,6,155,224,"Peak expiratory flow rate (220.0 +/- 12.9 and 324.3 +/- 84.3 in group I, 218.0 +/- 16.4 and 260.5 +/- 35.2 in group II) and inspiratory capacity (844.0 +/- 147.4 and 1100.0 +/- 158.1 in group I, 830.0 +/- 117.4 and 1090 +/- 137 in group II) were significantly lower before and after surgery respectively in both groups compared to normal values.","['Peak', 'expiratory', 'flow', 'rate', '(', '220.0', '+/-', '12.9', 'and', '324.3', '+/-', '84.3', 'in', 'group', 'I', ',', '218.0', '+/-', '16.4', 'and', '260.5', '+/-', '35.2', 'in', 'group', 'II', ')', 'and', 'inspiratory', 'capacity', '(', '844.0', '+/-', '147.4', 'and', '1100.0', '+/-', '158.1', 'in', 'group', 'I', ',', '830.0', '+/-', '117.4', 'and', '1090', '+/-', '137', 'in', 'group', 'II', ')', 'were', 'significantly', 'lower', 'before', 'and', 'after', 'surgery', 'respectively', 'in', 'both', 'groups', 'compared', 'to', 'normal', 'values', '.']",0,0,6,O
10052279,7,224,264,"Even though both groups showed a significant rise in post-operative peak expiratory flow rate and inspiratory capacity after surgery, the post-operative peak expiratory flow rate and inspiratory capacity in group I was significantly higher than in group II.","['Even', 'though', 'both', 'groups', 'showed', 'a', 'significant', 'rise', 'in', 'post-operative', 'peak', 'expiratory', 'flow', 'rate', 'and', 'inspiratory', 'capacity', 'after', 'surgery', ',', 'the', 'post-operative', 'peak', 'expiratory', 'flow', 'rate', 'and', 'inspiratory', 'capacity', 'in', 'group', 'I', 'was', 'significantly', 'higher', 'than', 'in', 'group', 'II', '.']",0,0,18,O
