doc_id,sentence,label,participants_count,interventions_count,outcomes_count
10036953,[ Triple therapy regimens involving H2 blockaders for therapy of Helicobacter pylori infections ] .,outcomes,0,2,4
10036953,Comparison of ranitidine and lansoprazole in short-term low-dose triple therapy for Helicobacter pylori infection .,interventions,0,2,1
10036953,"To evaluate the efficacy and safety of two 1-week low-dose triple-therapy drug regimens involving antisecretory drugs for Helicobacter pylori infection , 99 patients with H. pylori infection were treated with either lansoprazole ( LPZ ) or ranitidine ( RNT ) used together with clarithromycin ( CAM ) and metrinidazole ( MTZ ) .",interventions,4,12,3
10036953,"The drug combination and administration periods in the PPI group were LPZ 30 mg , CAM 400 mg , MTZ 500 mg ( LCM group ) .",interventions,0,3,0
10036953,"The ranitidine group received RNT 300 mg , CAM 400 mg , MTZ 500 mg ( RCM group ) .",interventions,0,4,0
10036953,The cure rate of H. pylori infection was 88 % in the LCM group ; 95 % CI 79-97 and 92 % in the RCM group ; 95 % CI 84-99 .,outcomes,0,2,6
10037531,Xylitol for prevention of acute otitis media .,participants,4,1,0
10052279,Pre-operative short-term pulmonary rehabilitation for patients of chronic obstructive pulmonary disease undergoing coronary artery bypass graft surgery .,interventions,0,10,0
10052279,The role of pre-operative short-term pulmonary rehabilitation in patients with chronic obstructive pulmonary disease who undergo coronary artery bypass graft surgery has been assessed for the first time prospectively .,interventions,0,4,0
10052279,Forty-five patients posted for coronary artery bypass graft surgery were randomised to receive either short-term pulmonary rehabilitation ( group I ) or no such programme ( group II ) .,interventions,1,8,0
10052279,"Patients of both the groups were evenly matched with respect to age , sex , body surface area , duration and severity of chronic obstructive pulmonary disease and coronary artery disease .",none,0,0,0
10052279,Normal individuals who evenly matched with the study group were assessed for normal respiratory function parameters .,none,0,0,0
10052279,"Pre-operative and post-operative peak expiratory flow rate , inspiratory capacity , post-operative ventilation time , post-operative pulmonary complication and hospital stay were determined in both the groups .",outcomes,0,0,17
10052279,"Peak expiratory flow rate ( 220.0 +/- 12.9 and 324.3 +/- 84.3 in group I , 218.0 +/- 16.4 and 260.5 +/- 35.2 in group II ) and inspiratory capacity ( 844.0 +/- 147.4 and 1100.0 +/- 158.1 in group I , 830.0 +/- 117.4 and 1090 +/- 137 in group II ) were significantly lower before and after surgery respectively in both groups compared to normal values .",outcomes,0,0,6
10052279,"Even though both groups showed a significant rise in post-operative peak expiratory flow rate and inspiratory capacity after surgery , the post-operative peak expiratory flow rate and inspiratory capacity in group I was significantly higher than in group II .",outcomes,0,0,18
10052279,"In group I , the post-operative ventilation time ( 24.5 +/- 6.00 hours ) , post-operative complications ( n = 4 ) and hospital stay ( 12.4 +/- 3.6 days ) were significantly lower than in group II ( 35.2 +/- 22.3 hours , n = 11 , 18.8 +/- 6.6 days respectively ) .",outcomes,0,0,7
10052279,These data suggest that short-term pulmonary rehabilitation is feasible and effective in improving pulmonary functions before and after surgery and in reducing surgical morbidity and cost of medical care significantly .,outcomes,0,0,8
10071998,Anesthesia for in vitro fertilization : the addition of fentanyl to 1.5 % lidocaine .,participants,4,3,0
10071998,UNLABELLED Ultrasonically guided transvaginal oocyte retrieval is relatively short procedure that is performed on an out-patient basis .,none,0,0,0
10071998,"The optimal anesthetic technique should allow good surgical anesthesia with minimal side effects , a short recovery time , and , if possible , a high rate of successful pregnancy .",none,0,0,0
10071998,"Spinal anesthesia is often used in this institution , as well as many others , for this procedure .",interventions,0,2,0
10071998,The addition of fentanyl may be effective for both intraoperative and postoperative pain relief .,none,0,0,0
10071998,We assessed the effect of adding fentanyl to 1.5 % lidocaine in women undergoing ultrasonically guided oocyte retrieval .,participants,5,0,0
10071998,Seventy-eight women were randomized to receive 45 mg of hyperbaric 1.5 % lidocaine with or without 10 microg of fentanyl .,interventions,2,15,0
10071998,Visual analog scale ( VAS ) pain scores were lower in the operating room ( OR ) ( P < 0.05 ) and postanesthesia care unit ( PACU ) ( P < 0.0005 ) for the group that received fentanyl .,outcomes,0,0,8
10071998,"In addition , the amount of narcotic required in the PACU was less in the fentanyl group ( P < 0.005 ) .",outcomes,0,0,4
10071998,There was no difference in VAS scores the evening of or 24 h after the procedure .,outcomes,0,0,2
10071998,The amount of analgesics and narcotics required after discharge was the same for both groups .,outcomes,0,0,8
10071998,"Timed variables , such as time to urination , ambulation , and discharge , were the same for both groups of women .",outcomes,0,0,13
10071998,The addition of fentanyl to lidocaine for transvaginal oocyte retrieval results in a more comfortable patient in the OR and PACU .,none,0,0,0
10071998,"IMPLICATIONS This study demonstrates that when fentanyl is added to a local anesthetic , lidocaine , with spinal anesthesia for egg retrieval procedures , patients are more comfortable during the procedure compared with those who receive lidocaine alone .",none,0,0,0
10071998,"In addition , the narcotic requirements of patients are less in the postanesthesia care unit .",none,0,0,0
10073522,Fertility outcome after systemic methotrexate and laparoscopic salpingostomy for tubal pregnancy .,interventions,3,4,0
10075386,Effects of insufficient sleep on blood pressure in hypertensive patients : a 24-h study .,participants,3,2,2
10075386,The influence of acute sleep deprivation during the first part of the night on 24-h blood pressure monitoring ( ABPM ) was studied in 36 never-treated mild to moderate hypertensive patients .,participants,8,4,2
10075386,"According to a crossover design , they were randomized to have either sleep deprivation or a full night 's sleep 1 week apart , during which they were monitored with ABPM .",interventions,0,6,0
10075386,Urine samples for analysis of nocturnal urinary excretion of norepinephrine were collected .,outcomes,0,0,3
10075386,"During the sleep-deprivation day , both mean 24-h blood pressure and mean 24-h heart rate were higher in comparison with those recorded during the routine workday , the difference being more pronounced during the nighttime ( P < .01 ) .",outcomes,0,1,2
10075386,Urinary excretion of norepinephrine showed a significant increase at night during sleep deprivation ( P < .05 ) .,outcomes,0,2,4
10075386,Blood pressure and heart rate significantly increased in the morning after a sleep-insufficient night ( P < .05 ) .,outcomes,0,1,4
10075386,"These data suggest that lack of sleep in hypertensive patients may increase sympathetic nervous activity during the night and the following morning , leading to increased blood pressure and heart rate .",outcomes,0,0,7
10075386,This situation might represent an increased risk for both target organ damage and acute cardiovascular diseases .,outcomes,0,0,10
10077140,Switching patients with asthma from chlorofluorocarbon ( CFC ) albuterol to hydrofluoroalkane-134a ( HFA ) albuterol .,interventions,0,6,0
10077140,Chlorofluorocarbon ( CFC ) propellants deplete stratospheric ozone .,none,0,0,0
10077140,"Production and use of CFCs , except for certain critical exemptions , has been prohibited by the Montreal Protocol .",none,0,0,0
10077140,"Use of CFCs as propellants in metered-dose inhalers ( MDIs ) is still allowed , but the U.S. Food and Drug Administration is planning the transition to alternative propellants for use in MDIs .",none,0,0,0
10077140,"Hydrofluoroalkane-134a ( HFA ) , a non-ozone-depleting propellant , has been used to reformulate albuterol ( HFA albuterol ) .",interventions,0,4,0
10077140,This study evaluates whether comparable safety and efficacy continues for 12 weeks after patients with asthma are switched from CFC albuterol to HFA albuterol .,interventions,0,7,0
10077140,Patients with asthma stabilized on CFC albuterol during a 12-week safety and efficacy trial were randomized to either continue receiving CFC albuterol or to be switched to receive HFA albuterol in a yearlong safety and efficacy trial .,interventions,0,19,0
10077140,Safety and efficacy were compared over the first 12 weeks of the yearlong trial between patients who had remained on CFC albuterol and those who had been switched to HFA albuterol .,outcomes,0,0,3
10077140,Bronchodilator efficacy was evaluated by serial spirometry for 6 hr after the patients self-administered the study drug in the clinic .,outcomes,0,0,4
10077140,"Safety was assessed by measuring changes in pulse rate , blood pressure , and electrocardiogram ( ECG ) intervals after dosing with study drug , monitoring adverse events , and performing prestudy and poststudy laboratory testing and physical examinations .",outcomes,0,0,24
10077140,No significant differences in bronchodilator efficacy between the patients continuing to receive CFC albuterol and those switched to HFA albuterol were found in the 12 weeks after the switch .,interventions,0,2,2
10077140,"No differences between the two products were found for changes in pulse rate , blood pressure , and ECG intervals .",outcomes,0,0,10
10077140,"Adverse event profiles were similar for the two products , except the patients remaining on CFC albuterol reported increased asthma symptoms and rhinitis significantly more often than the patients switched to HFA albuterol .",outcomes,0,0,3
10077140,No clinically meaningful changes in laboratory tests or physical examinations were found in either treatment group .,outcomes,0,0,1
10077140,Patients with asthma switched from CFC albuterol to HFA albuterol receive comparable bronchodilation with a similar safety profile as those continuing to receive CFC albuterol .,interventions,0,2,0
10078672,Behavioral and physiological effects of remifentanil and alfentanil in healthy volunteers .,outcomes,1,2,4
10078672,BACKGROUND The subjective and psychomotor effects of remifentanil have not been evaluated .,outcomes,0,1,4
10078672,"Accordingly , the authors used mood inventories and psychomotor tests to characterize the effects of remifentanil in healthy , non-drug-abusing volunteers .",participants,1,1,0
10078672,Alfentanil was used as a comparator drug .,none,0,0,0
10078672,"METHODS Ten healthy volunteers were enrolled in a randomized , double-blinded , placebo-controlled , crossover trial in which they received an infusion of saline , remifentanil , or alfentanil for 120 min .",interventions,1,4,0
10078672,"The age- and weight-adjusted infusions ( determined with STANPUMP , a computer modeling software package ) were given to achieve three predicted constant plasma levels for 40 min each of remifentanil ( 0.75 , 1.5 , and 3 ng/ml ) and alfentanil ( 16 , 32 , and 64 ng/ml ) .",interventions,0,6,0
10078672,"Mood forms and psychomotor tests were completed , and miosis was assessed , during and after the infusions .",none,0,0,0
10078672,"In addition , analgesia was tested at each dose level using a cold-pressor test .",none,0,0,0
10078672,"RESULTS Remifentanil had prototypic micro-like opioid subjective effects , impaired psychomotor performance , and produced analgesia .",outcomes,0,1,13
10078672,"Alfentanil at the dose range tested had more mild effects on these measures , and the analgesia data indicated that a 40:1 potency ratio , rather than the 20:1 ratio we used , may exist between remifentanil and alfentanil .",outcomes,0,0,1
10078672,"A psychomotor test administered 60 min after the remifentanil infusion was discontinued showed that the volunteers were still impaired , although they reported feeling no drug effects .",none,0,0,0
10078672,CONCLUSIONS The notion that the pharmacodynamic effects of remifentanil are extremely short-lived after the drug is no longer administered must be questioned given our findings that psychomotor effects were still apparent 1 h after the infusion was discontinued .,outcomes,0,1,4
10078673,Comparison of three solutions of ropivacaine/fentanyl for postoperative patient-controlled epidural analgesia .,participants,5,1,0
10078673,"BACKGROUND Ropivacaine , 0.2 % , is a new local anesthetic approved for epidural analgesia .",interventions,0,1,0
10078673,The addition of 4 microg/ml fentanyl improves analgesia from epidural ropivacaine .,interventions,0,1,0
10078673,Use of a lower concentration of ropivacaine-fentanyl may further improve analgesia or decrease side effects .,outcomes,0,1,3
10078673,"METHODS Thirty patients undergoing lower abdominal surgery were randomized in a double-blinded manner to receive one of three solutions : 0.2 % ropivacaine-4 microg fentanyl 0.1 % ropivacaine-2 microg fentanyl , or 0.05 % ropivacaine-1 microg fentanyl for patient-controlled epidural analgesia after standardized combined epidural and general anesthesia .",interventions,8,15,0
10078673,Patient-controlled epidural analgesia settings and adjustments for the three solutions were standardized to deliver equivalent drug doses .,none,0,0,0
10078673,"Pain scores ( rest , cough , and ambulation ) , side effects ( nausea , pruritus , sedation , motor block , hypotension , and orthostasis ) , and patient-controlled epidural analgesia consumption were measured for 48 h. RESULTS All three solutions produced equivalent analgesia .",outcomes,0,0,34
