sentence,true_label,population,intervention,outcome
Xylitol for prevention of acute otitis media .,participants,Outcome: Xylitol,Outcome: Xylitol,Prevention of acute otitis media
Anesthesia for in vitro fertilization : the addition of fentanyl to 1.5 % lidocaine .,participants,Outcome: Anesthesiologist,Outcome: fentanyl,Anesthesia for in vitro fertilization
We assessed the effect of adding fentanyl to 1.5 % lidocaine in women undergoing ultrasonically guided oocyte retrieval .,participants,Outcome: Women,Outcome: Fentanyl,Fentanyl added to lidocaine in women undergoing ultrasonically guided oocyte retrieval
Effects of insufficient sleep on blood pressure in hypertensive patients : a 24-h study .,participants,Outcome: hypertensive,Outcome: Effects,Effects of insufficient sleep
The influence of acute sleep deprivation during the first part of the night on 24-h blood pressure monitoring ( ABPM ) was studied in 36 never-treated mild to moderate hypertensive patients .,participants,Outcome: hypertensive,Outcome: Acute sleep deprivation,Acute sleep deprivation during the first part of the night on 24-h blood pressure
"Accordingly , the authors used mood inventories and psychomotor tests to characterize the effects of remifentanil in healthy , non-drug-abusing volunteers .",participants,Outcome: volunteers,Outcome: remifentanil,mood inventories and psychomotor
Comparison of three solutions of ropivacaine/fentanyl for postoperative patient-controlled epidural analgesia .,participants,Outcome: Patients,Outcome: Comparison,Comparison of three solutions of ropivacaine/fentany
Masticatory performance and chewing experience with implant-retained mandibular overdentures .,participants,Outcome: Mandibular,Outcome: Masticatory,Masticatory performance and chewing
The relationship between masticatory performance and chewing experience has not yet been explored for patients with implant-retained overdentures .,participants,Outcome: patients,Outcome: The relationship between masticatory,The relationship between masticatory performance
"Genotyping of CYP21 , linked chromosome 6p markers , and a sex-specific gene in neonatal screening for congenital adrenal hyperplasia .",participants,Outcome: Congenital adrenal hyperplasia,Outcome: Genotyping,Genotyping for congenital adrenal hyperplasi
Another 50 samples from Swiss and North American infants with correlative hormonal data were also genotyped .,participants,Outcome: Another,Outcome: Genotype,Another 50 samples from Swiss
The objective of this trial was to evaluate the potential advantages of the combination of piperacillin and tazobactam in the control of fever in neutropenic patients .,participants,Outcome: neutropenic,Outcome: combination of piperacillin,combination of piperacillin and tazobactam
"METHODS Pulse and mean arterial pressure were analyzed for their effect on mortality , adjusting for other modifiers of risk , using Cox proportional hazards regression analysis of data collected from 6,781 patients randomized into the Studies of Left Ventricular Dysfunction trials .",participants,"Outcome: 6,781",Outcome: Pulse,Pulse and mean arterial pressure were analyzed
A comparative study of ofloxacin and cefixime for treatment of typhoid fever in children .,participants,Outcome: ofloxacin and cefixime,Outcome: ofloxacin and cefixime,ofloxacin and cefixime for treatment of typhoid
"BACKGROUND Despite concerns about safety in children , fluoroquinolone antibiotics have become the treatment of choice in patients with multidrug-resistant typhoid fever in Vietnam .",participants,Outcome: Multidrug-Resistant Typhoid,Outcome: fluoroquinolone,Intervention: fluoroquinolone
METHODS In an open trial children with suspected typhoid fever were randomized to receive either ofloxacin ( 10 mg/kg/day in two divided doses ) for 5 days or cefixime ( 20 mg/kg/day in two divided doses ) for 7 days .,participants,Outcome: children with suspected typhoi,Outcome: ofloxacin,ofloxacin or cefixime
