doc_id,participants_pred,interventions_pred,outcomes_pred
10070173,,budesonide Turbuhaler; budesonide Turbuhaler 400 microg/day with budesonide; budesonide Turbuhaler with budesonide aqua; budesonide aqua; budesonide powder formulation,
10390665,,granisetron; granisetron with perphenazine; perphenazine; perphenazine 70 mg kg-1; prophylactic granisetron; tonsillectomy with or without adenoidectomy,
10475150,,Since exogenous somatostatin --; Somatostatin; endogenous somatostatin; melatonin; melatonin secretion; octreotide (Sandostatin; octreotide--fails; saline; somatostatin (octreotide),
10578479,,"2-hydroxyestrone to 16 alpha-hydroxyestrone; OC; estrone, estradiol, sex hormone-binding globulin, dehydroepiandrosterone sulfate, prolactin; progesterone; soy beverage containing 20 g of protein; soy feeding; soy intake; soy products high; total isoflavones to their usual diet",
10589810,,supportive periodontal care visit (SPT),
10763172,,Xylometazoline; Xylometazoline with Dexpanthenol (Nasic) versus Xylometazoline; Xylometazoline-Dexpanthenol nasal-spray versus Xylometazoline nasal spray; combination Xylometazoline-Dexpanthenol; xylometazoline and dexpanthenol,
10764172,,hysterectomy; intrathecal 0.5 mg morphine; morphine,
10912743,,Nonsteroidal antiinflammatory drugs; antihypertensive drug classes (angiotensin converting enzyme inhibitors; aspirin; calcium antagonists); vitamin E,
10934569,,parent training,
10940525,,Selamectin; canine heartworms; ivermectin; positive-control product; selamectin; selamectin (n=298),
11099086,,"Oral ciprofloxacin; ceftriaxone; ciprofloxacin; ciprofloxacin and ceftriaxone; ciprofloxacin suspension (10 mg/kg twice a day + im placebo; im ceftriaxone; intramuscular ceftriaxone; oral antibiotics, intramuscular ceftriaxone; placebo",
11229858,,,
1131298,,,
11317090,,,
11381289,,ramipril; ramipril - an angiotensin-converting enzyme; vitamin E,
11401641,,"latanoprost; timolol; timolol, one switched from timolol to latanoprost",
11454878,,PLD; pegylated liposomal doxorubicin; pegylated liposomal doxorubicin (PLD); platinum-based chemotherapy,
11495215,,Oral contraceptive use,
11642083,,TLT with streptokinase preparations; streptokinase preparations and neoton; thrombolytic therapy,
11737955,,"Antioxidant supplementation; dl-alpha-tocopheryl acetate, 200 mg ascorbic acid; ortho-hydroxyantipyrine; ortho-hydroxyantipyrine to antipyrine; placebo",
11750293,,,
11829043,,progressive muscle relaxation training (PMRT),
11891832,,methotrexate; oral methotrexate,
12139812,,pterygium; pterygium excision; pterygium with limbal epithelial autograft transplantation surgery; simple pterygium excision (B,
12477021,,,
12576806,,,
12586799,,cisplatin 20 mg/m (2) /d plus fluorouracil; concurrent chemoradiotherapy; concurrent chemotherapy; radiotherapy,
12595499,,,
12709693,,anesthesia (TIVA; fentanyl; midazolam; propofol; remifentanil,
1286547,,Nitrendipine; Twenty-nine IDDM; collagen stimulation; dihydropyridine calcium channel blocker; long-term nitrendipine treatment; nitrendipine; nitrendipine treatment; placebo; placebo-controlled,
12960652,,,
1459268,,vitro fertilization (IVF) program,
14679127,,paclitaxel,
14739125,,Apolipoprotein A-I; placebo,
14763035,,"selective angiotensin receptor antagonist, Valsartan",
15014018,,adjuvant high-dose interferon; investigating adjuvant high-dose IFN-alpha 2b therapy,
15133359,,"Biventricular pacing system implantation; CS cannulation; EPA; dedicated guiding catheters (guiding catheter alone positioning strategy, GCA); electrophysiology catheter advanced inside the guiding catheter (electrophysiology catheter aided positioning strategy",
15193668,,,
15358868,,,
15848261,,anticipation equilibrium; conventional physical therapy; conventional therapy; physical therapy (control group) or therapy,
15854186,,Cophenylcaine spray; cophenylcaine; cophenylcaine for nasal preparation; placebo; placebo nasal spray before flexible nasendoscopy,
15858959,,S. boulardii; placebo; placebo (placebo,
16055807,,atypical neuroleptic amisulpride,
16167234,,TPN with BCAA enriched formula; branch chain amino acid (BCAA) enriched formula; branch chain amino acid enriched formula; parenteral nutrition with either BCAA enriched; routine amino acid,
16295154,,,
16427787,,melatonin; placebo controlled functional magnetic resonance imaging (fMRI,
16505427,,"120,000 U; epoetin alfa; epoetin alfa (120K; epoetin alfa 40,000 U; epoetin alfa 40,000 U subcutaneously (SC); erythropoietin; standard weekly epoetin alfa (40K",
1669598,,LI; Local immunotherapy by inhalation of a powder extract; PI; disodium cromoglycate (DSCG); methacholine and ultrasonically nebulized distilled water (UNDW); parenteral immunotherapy; placebo,
17293018,,anti-C. difficile whey protein concentrate (anti-CD WPC); anti-CD WPC; raw milk from immunized cows; regular whey protein concentrate,
17321989,,chemotherapy; fluconazole; itraconazole; itraconazole capsules and fluconazole capsules,
17616069,,Teaching Hospital Motol; sacharose ferric oxide,
1780092,,Nimesulide; flurbiprofen; nimesulide,
17897478,,Salmeterol plus fluticasone propionate; fluticasone propionate plus montelukast; placebo-controlled; salmeterol plus fluticasone propionate (FP) (Seretide; SFC) and FP plus montelukast (FP/M),
18077611,,vaccine,
