sentence,true_label,population,intervention,outcome
Xylitol for prevention of acute otitis media .,participants,patients with [condition],Xylitol,Xylitol for prevention of acute otiti
Anesthesia for in vitro fertilization : the addition of fentanyl to 1.5 % lidocaine .,participants,[condition],Fentanyl to 1.5 % lidocaine,Anesthesia for in vitro fertilization
We assessed the effect of adding fentanyl to 1.5 % lidocaine in women undergoing ultrasonically guided oocyte retrieval .,participants,women undergoing ultrasonically guided oocyte,"fentanyl, lidocaine",fentanyl to 1.5 % lidocaine
Effects of insufficient sleep on blood pressure in hypertensive patients : a 24-h study .,participants,hypertensive,insufficient sleep on blood,Effects of insufficient sleep on blood pressure
The influence of acute sleep deprivation during the first part of the night on 24-h blood pressure monitoring ( ABPM ) was studied in 36 never-treated mild to moderate hypertensive patients .,participants,36 never-treated mild to moderate hypertensive,Acute sleep deprivation,The influence of acute sleep deprivation during the first part of the night on 24-h blood pressure
"Accordingly , the authors used mood inventories and psychomotor tests to characterize the effects of remifentanil in healthy , non-drug-abusing volunteers .",participants,[condition],Remifentanil,percentages or measurements
Comparison of three solutions of ropivacaine/fentanyl for postoperative patient-controlled epidural analgesia .,participants,[condition],Ropivacaine/fentanyl,Comparison of three solutions of ropivacaine/fentany
Masticatory performance and chewing experience with implant-retained mandibular overdentures .,participants,[condition],implant-retained mandibular overdentures,Masticatory performance and chewing experience
The relationship between masticatory performance and chewing experience has not yet been explored for patients with implant-retained overdentures .,participants,patients with implant-retained overdentures,implant-retained overdentures,The relationship between masticatory performance has not yet been explored
"Genotyping of CYP21 , linked chromosome 6p markers , and a sex-specific gene in neonatal screening for congenital adrenal hyperplasia .",participants,congenital adrenal hyperplasia,Glucophage,"Genotyping of CYP21 , linked chromosome 6p markers"
Another 50 samples from Swiss and North American infants with correlative hormonal data were also genotyped .,participants,50 samples from Swiss and North American infants,Swiss and North American,50 samples from Swiss
The objective of this trial was to evaluate the potential advantages of the combination of piperacillin and tazobactam in the control of fever in neutropenic patients .,participants,neutropenic,piperacillin and tazobactam,The potential advantages
"METHODS Pulse and mean arterial pressure were analyzed for their effect on mortality , adjusting for other modifiers of risk , using Cox proportional hazards regression analysis of data collected from 6,781 patients randomized into the Studies of Left Ventricular Dysfunction trials .",participants,"6,781 patients with left ventricular dysfunction",Studies of Left Ventricular Dysfunction,Pulse and mean arterial pressure were analyzed for their effect on mortality
A comparative study of ofloxacin and cefixime for treatment of typhoid fever in children .,participants,typhoid,ofloxacin and cefixime,ofloxacin and cefixime
"BACKGROUND Despite concerns about safety in children , fluoroquinolone antibiotics have become the treatment of choice in patients with multidrug-resistant typhoid fever in Vietnam .",participants,multidrug-resistant typhoid,fluoroquinolone,"Despite concerns about safety in children , fluoroquinolone antibiotics have become the treatment"
METHODS In an open trial children with suspected typhoid fever were randomized to receive either ofloxacin ( 10 mg/kg/day in two divided doses ) for 5 days or cefixime ( 20 mg/kg/day in two divided doses ) for 7 days .,participants,children with suspected typhoid,ofloxacin cefixime,ofloxacin ( 10 mg/kg/day in two divided doses for 5 days or cefixime (20 mg/kg/day in two divided doses for 7 days
